Transaction_ID,Date,Account_Code,Account_Description,Debit,Credit,Balance,Document_Number,Posting_Period
TXN000025,2024-03-02,430000,Other Income,0.0,16326.65,-16326.65,DOC3731,2024-03
TXN000026,2024-08-01,220000,Short-term Debt,0.0,44371.92,-44371.92,DOC6056,2024-08
TXN000027,2024-04-10,120000,Inventory,48588.43,0.0,48588.43,DOC4840,2024-04
TXN000028,2024-08-05,140000,"Property, Plant & Equipment",11875.65,0.0,11875.65,DOC7938,2024-08
TXN000029,2024-07-25,230000,Long-term Debt,0.0,21434.3,-21434.3,DOC8721,2024-07
TXN000030,2024-06-27,400000,Sales Revenue,0.0,1668.32,-1668.32,DOC3790,2024-06
TXN000031,2024-02-21,500000,Cost of Goods Sold,28207.45,0.0,28207.45,DOC7019,2024-02
TXN000032,2024-08-18,140000,"Property, Plant & Equipment",20578.11,0.0,20578.11,DOC4242,2024-08
TXN000033,2024-01-13,130000,Prepaid Expenses,3941.3,0.0,3941.3,DOC4157,2024-01
TXN000034,2024-06-18,110000,Accounts Receivable,40425.21,0.0,40425.21,DOC3693,2024-06
TXN000035,2024-02-13,320000,Other Equity,0.0,20883.85,-20883.85,DOC6450,2024-02
TXN000036,2024-07-08,210000,Accrued Liabilities,0.0,5591.59,-5591.59,DOC2306,2024-07
TXN000037,2024-08-20,530000,Utilities Expense,15308.58,0.0,15308.58,DOC9901,2024-08
TXN000038,2024-05-16,220000,Short-term Debt,0.0,24293.02,-24293.02,DOC1663,2024-05
TXN000039,2024-11-10,420000,Interest Income,0.0,16227.83,-16227.83,DOC2495,2024-11
TXN000040,2024-06-28,230000,Long-term Debt,0.0,18245.12,-18245.12,DOC7585,2024-06
TXN000041,2024-09-24,530000,Utilities Expense,12663.94,0.0,12663.94,DOC8554,2024-09
TXN000042,2024-04-10,500000,Cost of Goods Sold,14313.54,0.0,14313.54,DOC1698,2024-04
TXN000043,2024-01-02,500000,Cost of Goods Sold,25183.68,0.0,25183.68,DOC1854,2024-01
TXN000044,2024-08-11,140000,"Property, Plant & Equipment",45422.47,0.0,45422.47,DOC6249,2024-08
TXN000045,2024-06-20,540000,Marketing Expense,22444.38,0.0,22444.38,DOC6535,2024-06
TXN000046,2024-07-21,130000,Prepaid Expenses,18545.76,0.0,18545.76,DOC9958,2024-07
TXN000047,2024-10-06,200000,Accounts Payable,0.0,23568.0,-23568.0,DOC8777,2024-10
TXN000048,2024-08-27,200000,Accounts Payable,0.0,39937.42,-39937.42,DOC5282,2024-08
TXN000049,2024-12-14,200000,Accounts Payable,0.0,42932.1,-42932.1,DOC3811,2024-12
TXN000050,2024-12-11,130000,Prepaid Expenses,25653.44,0.0,25653.44,DOC9338,2024-12
TXN000051,2024-12-17,530000,Utilities Expense,4899.21,0.0,4899.21,DOC9680,2024-12
TXN000052,2024-05-07,100000,Cash and Cash Equivalents,25935.79,0.0,25935.79,DOC5736,2024-05
TXN000053,2024-05-30,310000,Retained Earnings,0.0,27118.25,-27118.25,DOC1262,2024-05
TXN000054,2024-12-11,430000,Other Income,0.0,49110.2,-49110.2,DOC3049,2024-12
TXN000055,2024-10-30,100000,Cash and Cash Equivalents,48274.43,0.0,48274.43,DOC5548,2024-10
TXN000056,2024-06-08,140000,"Property, Plant & Equipment",31691.76,0.0,31691.76,DOC8400,2024-06
TXN000057,2024-05-26,120000,Inventory,36325.19,0.0,36325.19,DOC2154,2024-05
TXN000058,2024-05-31,530000,Utilities Expense,20284.96,0.0,20284.96,DOC2648,2024-05
TXN000059,2024-04-13,220000,Short-term Debt,0.0,30360.81,-30360.81,DOC3557,2024-04
TXN000060,2024-06-01,120000,Inventory,352.57,0.0,352.57,DOC5973,2024-06
TXN000061,2024-07-12,510000,Salaries and Wages,34625.57,0.0,34625.57,DOC1956,2024-07
TXN000062,2024-06-09,230000,Long-term Debt,0.0,1001.96,-1001.96,DOC5493,2024-06
TXN000063,2024-10-30,540000,Marketing Expense,37349.92,0.0,37349.92,DOC7015,2024-10
TXN000064,2024-05-14,220000,Short-term Debt,0.0,36074.9,-36074.9,DOC5735,2024-05
TXN000065,2024-06-24,100000,Cash and Cash Equivalents,4774.37,0.0,4774.37,DOC9050,2024-06
TXN000066,2024-06-06,410000,Service Revenue,0.0,48653.23,-48653.23,DOC4436,2024-06
TXN000067,2024-09-20,520000,Rent Expense,31593.82,0.0,31593.82,DOC1225,2024-09
TXN000068,2024-10-12,540000,Marketing Expense,32290.66,0.0,32290.66,DOC8022,2024-10
TXN000069,2024-11-12,100000,Cash and Cash Equivalents,25009.75,0.0,25009.75,DOC8683,2024-11
TXN000070,2024-07-10,120000,Inventory,32309.07,0.0,32309.07,DOC9208,2024-07
TXN000071,2024-08-07,320000,Other Equity,0.0,23550.23,-23550.23,DOC2069,2024-08
TXN000072,2024-01-06,540000,Marketing Expense,18570.92,0.0,18570.92,DOC2060,2024-01
TXN000073,2024-10-28,500000,Cost of Goods Sold,48336.08,0.0,48336.08,DOC4170,2024-10
TXN000074,2024-04-25,100000,Cash and Cash Equivalents,14793.0,0.0,14793.0,DOC1980,2024-04
TXN000075,2024-09-12,100000,Cash and Cash Equivalents,24315.47,0.0,24315.47,DOC2816,2024-09
TXN000076,2024-08-10,300000,Common Stock,0.0,42226.24,-42226.24,DOC6442,2024-08
TXN000077,2024-06-22,220000,Short-term Debt,0.0,4949.11,-4949.11,DOC8455,2024-06
TXN000078,2024-12-07,420000,Interest Income,0.0,17996.47,-17996.47,DOC8806,2024-12
TXN000079,2024-09-29,300000,Common Stock,0.0,42448.62,-42448.62,DOC8560,2024-09
TXN000080,2024-09-02,310000,Retained Earnings,0.0,18038.61,-18038.61,DOC6596,2024-09
TXN000081,2024-09-03,300000,Common Stock,0.0,21047.06,-21047.06,DOC2841,2024-09
TXN000082,2024-11-11,400000,Sales Revenue,0.0,25615.99,-25615.99,DOC8992,2024-11
TXN000083,2024-06-21,130000,Prepaid Expenses,9794.27,0.0,9794.27,DOC7655,2024-06
TXN000084,2024-05-21,410000,Service Revenue,0.0,44511.27,-44511.27,DOC7614,2024-05
TXN000085,2024-04-01,420000,Interest Income,0.0,28985.36,-28985.36,DOC6919,2024-04
TXN000086,2024-06-01,520000,Rent Expense,7836.58,0.0,7836.58,DOC2148,2024-06
TXN000087,2024-06-28,500000,Cost of Goods Sold,2037.85,0.0,2037.85,DOC4854,2024-06
TXN000088,2024-04-10,310000,Retained Earnings,0.0,26159.94,-26159.94,DOC4124,2024-04
TXN000089,2024-04-17,320000,Other Equity,0.0,31182.23,-31182.23,DOC6315,2024-04
TXN000090,2024-12-30,200000,Accounts Payable,0.0,9799.56,-9799.56,DOC5142,2024-12
TXN000091,2024-11-06,120000,Inventory,7003.82,0.0,7003.82,DOC7799,2024-11
TXN000092,2024-05-03,400000,Sales Revenue,0.0,35758.3,-35758.3,DOC5752,2024-05
TXN000093,2024-04-01,520000,Rent Expense,37227.73,0.0,37227.73,DOC9932,2024-04
TXN000094,2024-11-13,540000,Marketing Expense,41815.41,0.0,41815.41,DOC8560,2024-11
TXN000095,2024-05-08,320000,Other Equity,0.0,8747.39,-8747.39,DOC1512,2024-05
TXN000096,2024-10-16,420000,Interest Income,0.0,12065.39,-12065.39,DOC6237,2024-10
TXN000097,2024-03-29,430000,Other Income,0.0,33043.85,-33043.85,DOC4343,2024-03
TXN000098,2024-07-10,210000,Accrued Liabilities,0.0,27762.27,-27762.27,DOC8004,2024-07
TXN000099,2024-03-16,120000,Inventory,28345.26,0.0,28345.26,DOC4506,2024-03
TXN000100,2024-03-26,140000,"Property, Plant & Equipment",818.24,0.0,818.24,DOC6188,2024-03
TXN000101,2024-04-03,420000,Interest Income,0.0,42787.48,-42787.48,DOC7617,2024-04
TXN000102,2024-12-06,430000,Other Income,0.0,23726.24,-23726.24,DOC8421,2024-12
TXN000103,2024-01-23,140000,"Property, Plant & Equipment",2498.14,0.0,2498.14,DOC3849,2024-01
TXN000104,2024-08-10,530000,Utilities Expense,863.7,0.0,863.7,DOC3489,2024-08
TXN000105,2024-11-20,100000,Cash and Cash Equivalents,34229.79,0.0,34229.79,DOC3839,2024-11
TXN000106,2024-09-03,430000,Other Income,0.0,47218.15,-47218.15,DOC7303,2024-09
TXN000107,2024-05-31,530000,Utilities Expense,33890.7,0.0,33890.7,DOC3427,2024-05
TXN000108,2024-06-27,100000,Cash and Cash Equivalents,41049.91,0.0,41049.91,DOC6387,2024-06
TXN000109,2024-03-05,120000,Inventory,48063.41,0.0,48063.41,DOC4913,2024-03
TXN000110,2024-02-13,310000,Retained Earnings,0.0,13770.66,-13770.66,DOC5107,2024-02
TXN000111,2024-09-09,410000,Service Revenue,0.0,4812.7,-4812.7,DOC3082,2024-09
TXN000112,2024-03-30,500000,Cost of Goods Sold,16016.88,0.0,16016.88,DOC1417,2024-03
TXN000113,2024-04-14,520000,Rent Expense,24852.27,0.0,24852.27,DOC1825,2024-04
TXN000114,2024-04-23,540000,Marketing Expense,31484.25,0.0,31484.25,DOC1412,2024-04
TXN000115,2024-08-04,130000,Prepaid Expenses,40193.7,0.0,40193.7,DOC9867,2024-08
TXN000116,2024-12-22,300000,Common Stock,0.0,37555.68,-37555.68,DOC3786,2024-12
TXN000117,2024-04-08,500000,Cost of Goods Sold,20689.62,0.0,20689.62,DOC6073,2024-04
TXN000118,2024-04-05,500000,Cost of Goods Sold,17106.1,0.0,17106.1,DOC8357,2024-04
TXN000119,2024-09-24,140000,"Property, Plant & Equipment",21506.8,0.0,21506.8,DOC6644,2024-09
TXN000120,2024-12-26,120000,Inventory,18948.67,0.0,18948.67,DOC9787,2024-12
TXN000121,2024-08-04,430000,Other Income,0.0,16070.48,-16070.48,DOC1698,2024-08
TXN000122,2024-06-25,520000,Rent Expense,2768.92,0.0,2768.92,DOC8400,2024-06
TXN000123,2024-03-16,520000,Rent Expense,17809.77,0.0,17809.77,DOC1717,2024-03
TXN000124,2024-12-04,530000,Utilities Expense,24701.98,0.0,24701.98,DOC9335,2024-12
TXN000125,2024-03-09,540000,Marketing Expense,14731.22,0.0,14731.22,DOC8192,2024-03
TXN000126,2024-02-22,530000,Utilities Expense,39599.79,0.0,39599.79,DOC2062,2024-02
TXN000127,2024-06-29,400000,Sales Revenue,0.0,24771.57,-24771.57,DOC7541,2024-06
TXN000128,2024-06-11,140000,"Property, Plant & Equipment",44396.44,0.0,44396.44,DOC5330,2024-06
TXN000129,2024-05-25,310000,Retained Earnings,0.0,48435.73,-48435.73,DOC8241,2024-05
TXN000130,2024-09-09,320000,Other Equity,0.0,41940.19,-41940.19,DOC6293,2024-09
TXN000131,2024-06-16,400000,Sales Revenue,0.0,3730.87,-3730.87,DOC7938,2024-06
TXN000132,2024-01-05,110000,Accounts Receivable,25714.98,0.0,25714.98,DOC6541,2024-01
TXN000133,2024-05-15,520000,Rent Expense,18776.11,0.0,18776.11,DOC2365,2024-05
TXN000134,2024-05-24,530000,Utilities Expense,47367.7,0.0,47367.7,DOC5312,2024-05
TXN000135,2024-05-11,400000,Sales Revenue,0.0,17575.89,-17575.89,DOC8419,2024-05
TXN000136,2024-12-29,520000,Rent Expense,27964.37,0.0,27964.37,DOC5186,2024-12
TXN000137,2024-12-11,300000,Common Stock,0.0,16579.6,-16579.6,DOC5268,2024-12
TXN000138,2024-08-29,400000,Sales Revenue,0.0,23486.17,-23486.17,DOC7619,2024-08
TXN000139,2024-11-12,220000,Short-term Debt,0.0,41157.24,-41157.24,DOC4072,2024-11
TXN000140,2024-12-13,120000,Inventory,48112.41,0.0,48112.41,DOC2214,2024-12
TXN000141,2024-11-07,500000,Cost of Goods Sold,26465.67,0.0,26465.67,DOC1133,2024-11
TXN000142,2024-06-21,320000,Other Equity,0.0,48496.95,-48496.95,DOC2852,2024-06
TXN000143,2024-05-28,420000,Interest Income,0.0,2265.7,-2265.7,DOC6348,2024-05
TXN000144,2024-08-14,130000,Prepaid Expenses,34801.02,0.0,34801.02,DOC7190,2024-08
TXN000145,2024-10-31,230000,Long-term Debt,0.0,34817.86,-34817.86,DOC4486,2024-10
TXN000146,2024-02-23,100000,Cash and Cash Equivalents,29257.28,0.0,29257.28,DOC3703,2024-02
TXN000147,2024-01-12,310000,Retained Earnings,0.0,47939.25,-47939.25,DOC6063,2024-01
TXN000148,2024-06-04,200000,Accounts Payable,0.0,16849.44,-16849.44,DOC7819,2024-06
TXN000149,2024-07-04,220000,Short-term Debt,0.0,11546.8,-11546.8,DOC1539,2024-07
TXN000150,2024-02-10,140000,"Property, Plant & Equipment",13071.5,0.0,13071.5,DOC7042,2024-02
TXN000151,2024-07-19,500000,Cost of Goods Sold,15545.43,0.0,15545.43,DOC8891,2024-07
TXN000152,2024-08-07,400000,Sales Revenue,0.0,13620.79,-13620.79,DOC2581,2024-08
TXN000153,2024-09-09,120000,Inventory,47032.54,0.0,47032.54,DOC8026,2024-09
TXN000154,2024-10-29,140000,"Property, Plant & Equipment",45966.91,0.0,45966.91,DOC1009,2024-10
TXN000155,2024-09-07,510000,Salaries and Wages,2356.41,0.0,2356.41,DOC2015,2024-09
TXN000156,2024-03-05,100000,Cash and Cash Equivalents,24070.47,0.0,24070.47,DOC8449,2024-03
TXN000157,2024-04-07,500000,Cost of Goods Sold,1937.41,0.0,1937.41,DOC9702,2024-04
TXN000158,2024-11-06,100000,Cash and Cash Equivalents,43249.65,0.0,43249.65,DOC3000,2024-11
TXN000159,2024-12-16,140000,"Property, Plant & Equipment",37520.55,0.0,37520.55,DOC2460,2024-12
TXN000160,2024-02-22,140000,"Property, Plant & Equipment",47243.81,0.0,47243.81,DOC5178,2024-02
TXN000161,2024-03-25,500000,Cost of Goods Sold,22582.15,0.0,22582.15,DOC6997,2024-03
TXN000162,2024-02-20,100000,Cash and Cash Equivalents,13809.12,0.0,13809.12,DOC8939,2024-02
TXN000163,2024-10-14,100000,Cash and Cash Equivalents,2440.13,0.0,2440.13,DOC8239,2024-10
TXN000164,2024-06-02,210000,Accrued Liabilities,0.0,24958.44,-24958.44,DOC1770,2024-06
TXN000165,2024-09-24,510000,Salaries and Wages,40837.65,0.0,40837.65,DOC9427,2024-09
TXN000166,2024-08-09,140000,"Property, Plant & Equipment",39611.71,0.0,39611.71,DOC7544,2024-08
TXN000167,2024-09-11,430000,Other Income,0.0,1536.26,-1536.26,DOC2252,2024-09
TXN000168,2024-03-06,540000,Marketing Expense,40271.73,0.0,40271.73,DOC7881,2024-03
TXN000169,2024-11-01,200000,Accounts Payable,0.0,29536.89,-29536.89,DOC7941,2024-11
TXN000170,2024-12-12,420000,Interest Income,0.0,4641.0,-4641.0,DOC2331,2024-12
TXN000171,2024-11-30,200000,Accounts Payable,0.0,19887.48,-19887.48,DOC5854,2024-11
TXN000172,2024-02-20,300000,Common Stock,0.0,34912.33,-34912.33,DOC5892,2024-02
TXN000173,2024-05-17,130000,Prepaid Expenses,46336.72,0.0,46336.72,DOC6449,2024-05
TXN000174,2024-12-05,500000,Cost of Goods Sold,23010.87,0.0,23010.87,DOC8941,2024-12
TXN000175,2024-07-23,540000,Marketing Expense,10535.63,0.0,10535.63,DOC2906,2024-07
TXN000176,2024-09-05,420000,Interest Income,0.0,23059.95,-23059.95,DOC7238,2024-09
TXN000177,2024-01-08,310000,Retained Earnings,0.0,9085.36,-9085.36,DOC9472,2024-01
TXN000178,2024-12-17,120000,Inventory,23750.69,0.0,23750.69,DOC5188,2024-12
TXN000179,2024-03-01,510000,Salaries and Wages,9695.22,0.0,9695.22,DOC8570,2024-03
TXN000180,2024-01-05,540000,Marketing Expense,17319.62,0.0,17319.62,DOC5777,2024-01
TXN000181,2024-11-21,540000,Marketing Expense,6119.73,0.0,6119.73,DOC7376,2024-11
TXN000182,2024-12-11,320000,Other Equity,0.0,44721.44,-44721.44,DOC8240,2024-12
TXN000183,2024-04-30,420000,Interest Income,0.0,34420.46,-34420.46,DOC7493,2024-04
TXN000184,2024-11-14,310000,Retained Earnings,0.0,18926.57,-18926.57,DOC5432,2024-11
TXN000185,2024-09-13,130000,Prepaid Expenses,4317.4,0.0,4317.4,DOC2276,2024-09
TXN000186,2024-07-25,530000,Utilities Expense,26875.87,0.0,26875.87,DOC1055,2024-07
TXN000187,2024-01-28,410000,Service Revenue,0.0,18508.79,-18508.79,DOC1364,2024-01
TXN000188,2024-07-05,410000,Service Revenue,0.0,12696.6,-12696.6,DOC6126,2024-07
TXN000189,2024-04-20,120000,Inventory,42237.59,0.0,42237.59,DOC7506,2024-04
TXN000190,2024-09-30,420000,Interest Income,0.0,22425.88,-22425.88,DOC7882,2024-09
TXN000191,2024-01-15,520000,Rent Expense,5332.97,0.0,5332.97,DOC6750,2024-01
TXN000192,2024-01-28,140000,"Property, Plant & Equipment",1101.55,0.0,1101.55,DOC2976,2024-01
TXN000193,2024-08-18,500000,Cost of Goods Sold,4551.3,0.0,4551.3,DOC1125,2024-08
TXN000194,2024-01-25,320000,Other Equity,0.0,44537.31,-44537.31,DOC7168,2024-01
TXN000195,2024-03-07,130000,Prepaid Expenses,32476.26,0.0,32476.26,DOC7371,2024-03
TXN000196,2024-02-03,420000,Interest Income,0.0,27931.34,-27931.34,DOC7891,2024-02
TXN000197,2024-02-11,520000,Rent Expense,14260.42,0.0,14260.42,DOC3739,2024-02
TXN000198,2024-11-10,110000,Accounts Receivable,49327.11,0.0,49327.11,DOC4812,2024-11
TXN000199,2024-05-29,100000,Cash and Cash Equivalents,11344.11,0.0,11344.11,DOC2605,2024-05
TXN000200,2024-01-04,430000,Other Income,0.0,42555.79,-42555.79,DOC4517,2024-01
TXN000201,2024-09-03,230000,Long-term Debt,0.0,2676.61,-2676.61,DOC3590,2024-09
TXN000202,2024-08-16,220000,Short-term Debt,0.0,49120.69,-49120.69,DOC6342,2024-08
TXN000203,2024-11-17,200000,Accounts Payable,0.0,28842.32,-28842.32,DOC9195,2024-11
TXN000204,2024-05-13,420000,Interest Income,0.0,48755.85,-48755.85,DOC3551,2024-05
TXN000205,2024-03-02,200000,Accounts Payable,0.0,46475.86,-46475.86,DOC1846,2024-03
TXN000206,2024-01-26,310000,Retained Earnings,0.0,14070.96,-14070.96,DOC7469,2024-01
TXN000207,2024-10-01,130000,Prepaid Expenses,10055.4,0.0,10055.4,DOC5208,2024-10
TXN000208,2024-02-16,320000,Other Equity,0.0,35390.78,-35390.78,DOC2828,2024-02
TXN000209,2024-12-21,310000,Retained Earnings,0.0,16100.05,-16100.05,DOC4744,2024-12
TXN000210,2024-06-26,200000,Accounts Payable,0.0,22767.97,-22767.97,DOC1260,2024-06
TXN000211,2024-06-20,300000,Common Stock,0.0,10166.35,-10166.35,DOC6287,2024-06
TXN000212,2024-03-24,110000,Accounts Receivable,12806.57,0.0,12806.57,DOC3832,2024-03
TXN000213,2024-02-07,230000,Long-term Debt,0.0,20650.86,-20650.86,DOC8984,2024-02
TXN000214,2024-11-13,140000,"Property, Plant & Equipment",37324.13,0.0,37324.13,DOC2908,2024-11
TXN000215,2024-05-16,310000,Retained Earnings,0.0,10329.59,-10329.59,DOC9162,2024-05
TXN000216,2024-01-01,120000,Inventory,37081.92,0.0,37081.92,DOC6951,2024-01
TXN000217,2024-09-23,220000,Short-term Debt,0.0,39783.84,-39783.84,DOC7413,2024-09
TXN000218,2024-07-31,120000,Inventory,9401.61,0.0,9401.61,DOC3898,2024-07
TXN000219,2024-03-02,410000,Service Revenue,0.0,18005.64,-18005.64,DOC2065,2024-03
TXN000220,2024-10-22,510000,Salaries and Wages,22652.24,0.0,22652.24,DOC7943,2024-10
TXN000221,2024-05-04,520000,Rent Expense,15138.76,0.0,15138.76,DOC6142,2024-05
TXN000222,2024-06-01,420000,Interest Income,0.0,17832.59,-17832.59,DOC5033,2024-06
TXN000223,2024-11-04,410000,Service Revenue,0.0,45332.96,-45332.96,DOC5018,2024-11
TXN000224,2024-07-16,210000,Accrued Liabilities,0.0,46997.62,-46997.62,DOC2202,2024-07
TXN000225,2024-02-11,220000,Short-term Debt,0.0,7049.68,-7049.68,DOC6742,2024-02
TXN000226,2024-08-18,100000,Cash and Cash Equivalents,28700.23,0.0,28700.23,DOC3204,2024-08
TXN000227,2024-04-06,200000,Accounts Payable,0.0,35378.33,-35378.33,DOC1950,2024-04
TXN000228,2024-09-10,100000,Cash and Cash Equivalents,10306.78,0.0,10306.78,DOC5612,2024-09
TXN000229,2024-12-18,300000,Common Stock,0.0,5235.51,-5235.51,DOC7028,2024-12
TXN000230,2024-08-15,420000,Interest Income,0.0,22904.31,-22904.31,DOC8863,2024-08
TXN000231,2024-06-05,420000,Interest Income,0.0,27039.05,-27039.05,DOC3371,2024-06
TXN000232,2024-06-21,320000,Other Equity,0.0,36029.82,-36029.82,DOC1094,2024-06
TXN000233,2024-08-30,520000,Rent Expense,28318.87,0.0,28318.87,DOC1793,2024-08
TXN000234,2024-10-09,310000,Retained Earnings,0.0,17350.23,-17350.23,DOC7166,2024-10
TXN000235,2024-12-11,420000,Interest Income,0.0,47369.44,-47369.44,DOC3443,2024-12
TXN000236,2024-04-13,400000,Sales Revenue,0.0,25343.85,-25343.85,DOC1984,2024-04
TXN000237,2024-04-20,100000,Cash and Cash Equivalents,36332.17,0.0,36332.17,DOC4531,2024-04
TXN000238,2024-12-21,320000,Other Equity,0.0,45945.65,-45945.65,DOC4876,2024-12
TXN000239,2024-05-06,220000,Short-term Debt,0.0,7711.7,-7711.7,DOC9795,2024-05
TXN000240,2024-02-20,230000,Long-term Debt,0.0,36848.57,-36848.57,DOC4368,2024-02
TXN000241,2024-09-13,310000,Retained Earnings,0.0,5750.58,-5750.58,DOC4476,2024-09
TXN000242,2024-06-30,410000,Service Revenue,0.0,41890.79,-41890.79,DOC4072,2024-06
TXN000243,2024-05-28,520000,Rent Expense,19027.35,0.0,19027.35,DOC9393,2024-05
TXN000244,2024-11-08,530000,Utilities Expense,331.14,0.0,331.14,DOC8970,2024-11
TXN000245,2024-01-25,530000,Utilities Expense,43189.56,0.0,43189.56,DOC8973,2024-01
TXN000246,2024-07-28,110000,Accounts Receivable,24093.77,0.0,24093.77,DOC7490,2024-07
TXN000247,2024-05-07,500000,Cost of Goods Sold,11307.78,0.0,11307.78,DOC5971,2024-05
TXN000248,2024-06-30,520000,Rent Expense,8901.71,0.0,8901.71,DOC2990,2024-06
TXN000249,2024-07-16,530000,Utilities Expense,1790.57,0.0,1790.57,DOC7320,2024-07
TXN000250,2024-05-29,310000,Retained Earnings,0.0,11082.85,-11082.85,DOC6588,2024-05
TXN000251,2024-12-02,500000,Cost of Goods Sold,48057.41,0.0,48057.41,DOC1688,2024-12
TXN000252,2024-04-27,530000,Utilities Expense,43045.54,0.0,43045.54,DOC6182,2024-04
TXN000253,2024-02-18,220000,Short-term Debt,0.0,15049.84,-15049.84,DOC2759,2024-02
TXN000254,2024-08-02,400000,Sales Revenue,0.0,21396.77,-21396.77,DOC1951,2024-08
TXN000255,2024-11-13,520000,Rent Expense,10336.47,0.0,10336.47,DOC5524,2024-11
TXN000256,2024-01-19,430000,Other Income,0.0,3378.86,-3378.86,DOC6490,2024-01
TXN000257,2024-07-12,420000,Interest Income,0.0,26769.35,-26769.35,DOC6232,2024-07
TXN000258,2024-08-09,510000,Salaries and Wages,28026.05,0.0,28026.05,DOC5926,2024-08
TXN000259,2024-09-20,130000,Prepaid Expenses,43103.1,0.0,43103.1,DOC9038,2024-09
TXN000260,2024-10-14,120000,Inventory,13687.86,0.0,13687.86,DOC7305,2024-10
TXN000261,2024-03-27,100000,Cash and Cash Equivalents,48948.68,0.0,48948.68,DOC4462,2024-03
TXN000262,2024-11-16,220000,Short-term Debt,0.0,27630.96,-27630.96,DOC6954,2024-11
TXN000263,2024-02-23,220000,Short-term Debt,0.0,17029.64,-17029.64,DOC4300,2024-02
TXN000264,2024-02-20,120000,Inventory,32672.03,0.0,32672.03,DOC4054,2024-02
TXN000265,2024-10-17,220000,Short-term Debt,0.0,12234.29,-12234.29,DOC3538,2024-10
TXN000266,2024-06-13,430000,Other Income,0.0,7139.98,-7139.98,DOC6005,2024-06
TXN000267,2024-01-07,430000,Other Income,0.0,31698.71,-31698.71,DOC3198,2024-01
TXN000268,2024-05-26,540000,Marketing Expense,6226.57,0.0,6226.57,DOC2308,2024-05
TXN000269,2024-01-02,510000,Salaries and Wages,45540.14,0.0,45540.14,DOC7852,2024-01
TXN000270,2024-01-11,530000,Utilities Expense,13045.23,0.0,13045.23,DOC2409,2024-01
TXN000271,2024-04-28,120000,Inventory,13476.38,0.0,13476.38,DOC1804,2024-04
TXN000272,2024-09-12,200000,Accounts Payable,0.0,27647.15,-27647.15,DOC8083,2024-09
TXN000273,2024-12-07,120000,Inventory,39009.96,0.0,39009.96,DOC3679,2024-12
TXN000274,2024-08-02,410000,Service Revenue,0.0,40012.78,-40012.78,DOC3768,2024-08
TXN000275,2024-04-24,510000,Salaries and Wages,25671.64,0.0,25671.64,DOC3599,2024-04
TXN000276,2024-08-24,110000,Accounts Receivable,20187.25,0.0,20187.25,DOC8368,2024-08
TXN000277,2024-01-04,310000,Retained Earnings,0.0,6700.58,-6700.58,DOC9996,2024-01
TXN000278,2024-11-21,310000,Retained Earnings,0.0,45723.51,-45723.51,DOC6475,2024-11
TXN000279,2024-02-03,230000,Long-term Debt,0.0,27753.48,-27753.48,DOC8141,2024-02
