Order_Number,Order_Date,Delivery_Date,Customer_ID,Customer_Name,Product_Code,Product_Name,Quantity,Unit_Price,Total_Amount,Currency,Region,Status,Sales_Rep
SO000022,2024-07-21,2024-08-13,CUST00038,Customer CUST00038,PRD016,Product H,69,319.83,22068.26,USD,East,Delivered,REP01
SO000023,2024-07-19,2024-07-31,CUST00080,Customer CUST00080,PRD067,Product C,20,169.72,3394.4,USD,West,Open,REP19
SO000024,2024-05-27,2024-06-09,CUST00052,Customer CUST00052,PRD011,Product I,33,204.81,6758.74,USD,South,Delivered,REP18
SO000025,2024-05-30,2024-06-15,CUST00099,Customer CUST00099,PRD002,Product G,16,410.44,6567.02,USD,North,Delivered,REP01
SO000026,2024-10-30,2024-11-17,CUST00069,Customer CUST00069,PRD019,Product E,32,320.22,10247.03,USD,North,In Process,REP16
SO000027,2024-07-26,2024-08-04,CUST00020,Customer CUST00020,PRD072,Product H,54,392.14,21175.51,USD,West,Open,REP04
SO000028,2024-04-13,2024-05-09,CUST00099,Customer CUST00099,PRD082,Product I,99,487.1,48222.43,USD,South,Open,REP02
SO000029,2024-11-05,2024-11-14,CUST00080,Customer CUST00080,PRD008,Product I,33,18.86,622.28,USD,Central,Open,REP07
SO000030,2024-07-13,2024-08-05,CUST00033,Customer CUST00033,PRD008,Product C,86,139.95,12035.63,USD,Central,In Process,REP02
SO000031,2024-10-03,2024-10-10,CUST00028,Customer CUST00028,PRD064,Product A,69,122.79,8472.56,USD,East,Delivered,REP17
SO000032,2024-01-17,2024-02-04,CUST00092,Customer CUST00092,PRD093,Product E,6,191.38,1148.27,USD,North,Cancelled,REP17
SO000033,2024-10-28,2024-11-24,CUST00095,Customer CUST00095,PRD087,Product C,60,427.97,25678.48,USD,Central,In Process,REP01
SO000034,2024-09-12,2024-09-21,CUST00018,Customer CUST00018,PRD024,Product I,95,423.66,40248.12,USD,East,Delivered,REP18
SO000035,2024-10-14,2024-11-04,CUST00086,Customer CUST00086,PRD017,Product G,66,134.54,8879.65,USD,South,Delivered,REP08
SO000036,2024-10-25,2024-11-22,CUST00048,Customer CUST00048,PRD025,Product G,93,155.29,14441.97,USD,South,Delivered,REP13
SO000037,2024-11-11,2024-11-24,CUST00057,Customer CUST00057,PRD015,Product D,45,105.19,4733.74,USD,West,Delivered,REP02
SO000038,2024-11-17,2024-12-16,CUST00063,Customer CUST00063,PRD058,Product F,51,238.14,12145.29,USD,Central,Delivered,REP17
SO000039,2024-06-28,2024-07-14,CUST00070,Customer CUST00070,PRD005,Product F,60,170.06,10203.55,USD,Central,In Process,REP07
SO000040,2024-07-14,2024-07-26,CUST00096,Customer CUST00096,PRD030,Product D,94,274.91,25841.65,USD,West,Open,REP19
SO000041,2024-05-24,2024-06-18,CUST00092,Customer CUST00092,PRD023,Product J,55,132.92,7310.69,USD,South,Cancelled,REP09
SO000042,2024-05-08,2024-05-15,CUST00034,Customer CUST00034,PRD016,Product F,48,99.6,4781.01,USD,Central,In Process,REP07
SO000043,2024-07-10,2024-07-21,CUST00022,Customer CUST00022,PRD057,Product G,67,131.39,8803.01,USD,East,Delivered,REP14
SO000044,2024-08-07,2024-08-18,CUST00047,Customer CUST00047,PRD016,Product A,94,429.18,40342.51,USD,West,Open,REP16
SO000045,2024-12-06,2024-12-19,CUST00100,Customer CUST00100,PRD069,Product A,94,328.39,30868.58,USD,South,Delivered,REP04
SO000046,2024-10-16,2024-11-11,CUST00095,Customer CUST00095,PRD004,Product J,19,256.54,4874.2,USD,North,Delivered,REP16
SO000047,2024-10-06,2024-10-28,CUST00002,Customer CUST00002,PRD012,Product A,92,297.03,27326.76,USD,East,Delivered,REP18
SO000048,2024-06-11,2024-06-18,CUST00033,Customer CUST00033,PRD040,Product C,43,471.32,20266.66,USD,East,Delivered,REP10
SO000049,2024-02-12,2024-03-01,CUST00029,Customer CUST00029,PRD026,Product B,35,174.91,6121.9,USD,South,In Process,REP10
SO000050,2024-03-30,2024-04-07,CUST00007,Customer CUST00007,PRD036,Product D,58,351.4,20381.27,USD,Central,Cancelled,REP04
SO000051,2024-12-22,2025-01-06,CUST00024,Customer CUST00024,PRD096,Product C,49,368.51,18056.86,USD,West,In Process,REP05
SO000052,2024-09-24,2024-10-17,CUST00055,Customer CUST00055,PRD084,Product G,89,126.74,11279.48,USD,North,Delivered,REP16
SO000053,2024-08-04,2024-09-01,CUST00013,Customer CUST00013,PRD076,Product C,49,36.21,1774.18,USD,Central,Cancelled,REP09
SO000054,2024-10-10,2024-10-30,CUST00095,Customer CUST00095,PRD012,Product D,83,251.58,20881.35,USD,Central,Open,REP04
SO000055,2024-02-22,2024-03-22,CUST00016,Customer CUST00016,PRD014,Product I,39,54.69,2132.95,USD,South,Cancelled,REP05
SO000056,2024-06-11,2024-07-10,CUST00093,Customer CUST00093,PRD007,Product B,76,347.13,26382.24,USD,South,Delivered,REP14
SO000057,2024-05-20,2024-06-03,CUST00042,Customer CUST00042,PRD037,Product I,50,447.03,22351.47,USD,South,Open,REP06
SO000058,2024-12-04,2024-12-18,CUST00065,Customer CUST00065,PRD036,Product F,17,474.15,8060.58,USD,North,Delivered,REP06
SO000059,2024-09-08,2024-10-03,CUST00061,Customer CUST00061,PRD067,Product F,39,217.87,8496.88,USD,South,In Process,REP13
SO000060,2024-05-20,2024-06-13,CUST00092,Customer CUST00092,PRD039,Product J,20,68.22,1364.42,USD,Central,Delivered,REP01
SO000061,2024-12-13,2025-01-05,CUST00025,Customer CUST00025,PRD032,Product H,33,119.56,3945.54,USD,South,Open,REP13
SO000062,2024-11-12,2024-12-03,CUST00021,Customer CUST00021,PRD019,Product F,85,496.55,42206.98,USD,Central,In Process,REP18
SO000063,2024-02-16,2024-03-02,CUST00049,Customer CUST00049,PRD074,Product A,54,296.31,16000.96,USD,North,Cancelled,REP16
SO000064,2024-12-23,2025-01-10,CUST00024,Customer CUST00024,PRD058,Product E,8,93.14,745.15,USD,West,In Process,REP18
SO000065,2024-01-28,2024-02-08,CUST00041,Customer CUST00041,PRD084,Product D,64,232.09,14853.63,USD,North,In Process,REP13
SO000066,2024-08-07,2024-08-29,CUST00029,Customer CUST00029,PRD066,Product C,6,475.4,2852.41,USD,Central,Delivered,REP10
SO000067,2024-11-07,2024-12-01,CUST00005,Customer CUST00005,PRD049,Product G,33,391.03,12903.83,USD,South,Cancelled,REP11
SO000068,2024-12-06,2025-01-03,CUST00059,Customer CUST00059,PRD001,Product A,77,41.12,3166.3,USD,North,In Process,REP16
SO000069,2024-11-06,2024-11-18,CUST00092,Customer CUST00092,PRD053,Product A,69,499.86,34490.45,USD,East,Delivered,REP05
SO000070,2024-07-20,2024-08-05,CUST00083,Customer CUST00083,PRD077,Product A,85,230.77,19615.16,USD,North,Cancelled,REP04
SO000071,2024-10-14,2024-10-22,CUST00092,Customer CUST00092,PRD003,Product H,39,339.07,13223.76,USD,South,In Process,REP18
SO000072,2024-09-24,2024-10-01,CUST00054,Customer CUST00054,PRD047,Product E,94,439.56,41318.66,USD,North,Delivered,REP15
SO000073,2024-08-16,2024-09-12,CUST00014,Customer CUST00014,PRD050,Product B,75,114.35,8576.43,USD,West,Cancelled,REP02
SO000074,2024-12-03,2024-12-24,CUST00091,Customer CUST00091,PRD088,Product C,63,365.93,23053.88,USD,North,Delivered,REP15
SO000075,2024-01-30,2024-02-28,CUST00051,Customer CUST00051,PRD074,Product A,5,400.27,2001.36,USD,South,Cancelled,REP17
SO000076,2024-12-05,2024-12-16,CUST00034,Customer CUST00034,PRD075,Product F,53,180.23,9552.33,USD,East,Delivered,REP19
SO000077,2024-04-20,2024-05-19,CUST00055,Customer CUST00055,PRD067,Product F,16,324.03,5184.46,USD,West,In Process,REP03
SO000078,2024-06-03,2024-06-27,CUST00061,Customer CUST00061,PRD042,Product J,51,30.03,1531.31,USD,Central,In Process,REP06
SO000079,2024-01-01,2024-01-12,CUST00012,Customer CUST00012,PRD073,Product J,46,188.49,8670.64,USD,South,Delivered,REP15
SO000080,2024-04-30,2024-05-28,CUST00056,Customer CUST00056,PRD052,Product A,26,435.47,11322.16,USD,North,Delivered,REP15
SO000081,2024-10-29,2024-11-26,CUST00014,Customer CUST00014,PRD014,Product J,28,190.77,5341.5,USD,South,Delivered,REP19
SO000082,2024-01-07,2024-01-16,CUST00023,Customer CUST00023,PRD028,Product B,38,270.98,10297.33,USD,North,Delivered,REP10
SO000083,2024-02-08,2024-03-02,CUST00086,Customer CUST00086,PRD068,Product J,44,124.28,5468.15,USD,Central,Delivered,REP10
SO000084,2024-03-07,2024-03-22,CUST00018,Customer CUST00018,PRD042,Product D,86,297.55,25589.48,USD,North,Delivered,REP09
SO000085,2024-04-10,2024-04-22,CUST00052,Customer CUST00052,PRD033,Product J,64,289.68,18539.61,USD,East,Cancelled,REP06
SO000086,2024-03-10,2024-04-08,CUST00004,Customer CUST00004,PRD040,Product H,55,422.73,23250.36,USD,East,Delivered,REP05
SO000087,2024-02-05,2024-02-17,CUST00066,Customer CUST00066,PRD051,Product D,92,459.52,42276.19,USD,North,In Process,REP02
SO000088,2024-11-30,2024-12-17,CUST00008,Customer CUST00008,PRD068,Product J,51,420.91,21466.18,USD,Central,Open,REP19
SO000089,2024-07-30,2024-08-06,CUST00020,Customer CUST00020,PRD038,Product A,12,66.27,795.24,USD,South,Delivered,REP05
SO000090,2024-05-18,2024-05-28,CUST00077,Customer CUST00077,PRD010,Product C,33,190.92,6300.46,USD,South,Delivered,REP12
SO000091,2024-01-13,2024-01-27,CUST00002,Customer CUST00002,PRD075,Product D,65,78.02,5071.57,USD,North,Delivered,REP15
SO000092,2024-02-07,2024-03-07,CUST00035,Customer CUST00035,PRD075,Product A,69,417.0,28773.24,USD,West,In Process,REP09
SO000093,2024-03-16,2024-03-25,CUST00035,Customer CUST00035,PRD072,Product A,40,363.58,14543.29,USD,West,Delivered,REP11
SO000094,2024-12-26,2025-01-06,CUST00014,Customer CUST00014,PRD026,Product C,85,101.34,8613.77,USD,East,Delivered,REP04
SO000095,2024-03-29,2024-04-17,CUST00042,Customer CUST00042,PRD097,Product I,18,410.13,7382.41,USD,East,Delivered,REP15
SO000096,2024-06-01,2024-06-24,CUST00097,Customer CUST00097,PRD070,Product G,66,276.34,18238.5,USD,East,Delivered,REP06
SO000097,2024-03-07,2024-03-20,CUST00051,Customer CUST00051,PRD094,Product H,42,78.24,3286.22,USD,Central,In Process,REP07
SO000098,2024-06-05,2024-06-17,CUST00057,Customer CUST00057,PRD010,Product A,27,374.53,10112.41,USD,West,Delivered,REP05
SO000099,2024-05-02,2024-05-18,CUST00097,Customer CUST00097,PRD052,Product F,38,272.88,10369.28,USD,West,In Process,REP15
SO000100,2024-06-05,2024-06-19,CUST00005,Customer CUST00005,PRD036,Product D,76,388.22,29504.88,USD,East,Delivered,REP04
SO000101,2024-10-08,2024-10-25,CUST00027,Customer CUST00027,PRD006,Product E,20,98.98,1979.66,USD,South,In Process,REP08
SO000102,2024-01-23,2024-02-13,CUST00090,Customer CUST00090,PRD060,Product J,13,78.17,1016.17,USD,South,Delivered,REP11
SO000103,2024-12-21,2025-01-12,CUST00068,Customer CUST00068,PRD031,Product E,37,356.55,13192.24,USD,South,Delivered,REP09
SO000104,2024-02-20,2024-03-11,CUST00040,Customer CUST00040,PRD021,Product I,86,456.24,39236.32,USD,North,Open,REP14
SO000105,2024-06-30,2024-07-29,CUST00057,Customer CUST00057,PRD021,Product A,63,162.61,10244.28,USD,East,Delivered,REP15
SO000106,2024-11-04,2024-11-19,CUST00074,Customer CUST00074,PRD025,Product D,57,12.27,699.37,USD,North,Open,REP11
SO000107,2024-10-20,2024-10-28,CUST00007,Customer CUST00007,PRD059,Product B,91,371.38,33795.18,USD,North,Delivered,REP12
SO000108,2024-09-07,2024-10-02,CUST00054,Customer CUST00054,PRD049,Product H,25,254.2,6355.01,USD,Central,Cancelled,REP11
SO000109,2024-05-29,2024-06-22,CUST00085,Customer CUST00085,PRD086,Product A,71,488.02,34649.08,USD,North,Open,REP08
SO000110,2024-02-18,2024-03-02,CUST00001,Customer CUST00001,PRD030,Product G,51,112.85,5755.54,USD,East,In Process,REP17
SO000111,2024-10-12,2024-11-03,CUST00040,Customer CUST00040,PRD066,Product C,18,154.08,2773.47,USD,East,In Process,REP17
SO000112,2024-04-23,2024-05-05,CUST00051,Customer CUST00051,PRD074,Product D,1,173.84,173.84,USD,East,In Process,REP19
SO000113,2024-06-10,2024-06-17,CUST00087,Customer CUST00087,PRD057,Product G,92,421.5,38777.68,USD,Central,In Process,REP03
SO000114,2024-09-11,2024-09-25,CUST00054,Customer CUST00054,PRD034,Product I,67,444.86,29805.33,USD,West,In Process,REP03
SO000115,2024-04-05,2024-04-25,CUST00032,Customer CUST00032,PRD054,Product H,46,416.81,19173.16,USD,West,Cancelled,REP14
SO000116,2024-08-10,2024-09-08,CUST00048,Customer CUST00048,PRD019,Product B,7,320.29,2242.02,USD,North,In Process,REP16
SO000117,2024-02-05,2024-02-29,CUST00002,Customer CUST00002,PRD002,Product A,47,316.13,14858.25,USD,East,In Process,REP03
SO000118,2024-04-28,2024-05-16,CUST00020,Customer CUST00020,PRD044,Product E,37,210.61,7792.63,USD,North,In Process,REP03
SO000119,2024-12-07,2024-12-25,CUST00024,Customer CUST00024,PRD096,Product A,74,287.23,21255.06,USD,East,Delivered,REP17
SO000120,2024-04-24,2024-05-17,CUST00014,Customer CUST00014,PRD022,Product I,40,352.43,14097.38,USD,North,In Process,REP11
SO000121,2024-01-04,2024-01-23,CUST00098,Customer CUST00098,PRD042,Product G,37,19.01,703.42,USD,South,Delivered,REP04
SO000122,2024-02-10,2024-02-22,CUST00034,Customer CUST00034,PRD086,Product A,37,329.2,12180.25,USD,South,Delivered,REP06
SO000123,2024-08-06,2024-08-20,CUST00098,Customer CUST00098,PRD085,Product I,53,95.93,5084.39,USD,Central,Delivered,REP14
SO000124,2024-03-04,2024-03-12,CUST00054,Customer CUST00054,PRD021,Product A,51,54.27,2767.52,USD,East,In Process,REP11
SO000125,2024-10-22,2024-11-08,CUST00036,Customer CUST00036,PRD055,Product A,59,155.59,9179.79,USD,East,Cancelled,REP15
SO000126,2024-05-31,2024-06-28,CUST00022,Customer CUST00022,PRD083,Product E,56,115.32,6457.96,USD,West,Delivered,REP03
SO000127,2024-08-31,2024-09-17,CUST00081,Customer CUST00081,PRD040,Product B,73,387.75,28305.53,USD,Central,In Process,REP17
SO000128,2024-05-08,2024-05-25,CUST00042,Customer CUST00042,PRD044,Product I,39,47.21,1841.09,USD,South,Delivered,REP19
SO000129,2024-04-11,2024-04-19,CUST00012,Customer CUST00012,PRD074,Product C,44,405.64,17848.2,USD,North,Open,REP17
SO000130,2024-10-29,2024-11-16,CUST00062,Customer CUST00062,PRD080,Product H,83,368.79,30609.59,USD,Central,Delivered,REP06
SO000131,2024-07-18,2024-08-11,CUST00089,Customer CUST00089,PRD017,Product J,26,29.32,762.3,USD,South,Delivered,REP07
SO000132,2024-09-26,2024-10-17,CUST00007,Customer CUST00007,PRD082,Product I,48,66.49,3191.43,USD,East,Cancelled,REP07
SO000133,2024-04-12,2024-05-05,CUST00014,Customer CUST00014,PRD037,Product H,99,284.73,28188.45,USD,Central,Open,REP11
SO000134,2024-07-01,2024-07-30,CUST00039,Customer CUST00039,PRD033,Product H,4,397.45,1589.82,USD,North,Delivered,REP16
SO000135,2024-04-17,2024-04-25,CUST00055,Customer CUST00055,PRD013,Product C,42,495.27,20801.22,USD,East,Delivered,REP18
SO000136,2024-04-05,2024-04-14,CUST00039,Customer CUST00039,PRD057,Product D,29,385.92,11191.75,USD,Central,Open,REP16
SO000137,2024-08-23,2024-09-13,CUST00010,Customer CUST00010,PRD014,Product I,84,371.42,31198.89,USD,North,Open,REP18
SO000138,2024-11-19,2024-12-13,CUST00062,Customer CUST00062,PRD073,Product E,25,145.86,3646.5,USD,Central,Cancelled,REP15
SO000139,2024-10-31,2024-11-10,CUST00012,Customer CUST00012,PRD039,Product J,37,395.31,14626.44,USD,East,Delivered,REP14
SO000140,2024-12-09,2024-12-26,CUST00062,Customer CUST00062,PRD020,Product B,25,374.24,9356.07,USD,West,In Process,REP19
SO000141,2024-11-25,2024-12-12,CUST00098,Customer CUST00098,PRD006,Product I,90,28.0,2519.88,USD,South,Delivered,REP05
SO000142,2024-09-17,2024-10-15,CUST00047,Customer CUST00047,PRD061,Product G,49,263.95,12933.43,USD,West,Cancelled,REP10
SO000143,2024-06-26,2024-07-20,CUST00062,Customer CUST00062,PRD089,Product A,88,449.74,39577.45,USD,East,In Process,REP09
SO000144,2024-03-08,2024-03-28,CUST00098,Customer CUST00098,PRD067,Product I,56,140.14,7848.07,USD,West,In Process,REP02
SO000145,2024-11-27,2024-12-13,CUST00009,Customer CUST00009,PRD079,Product H,25,279.92,6998.0,USD,East,In Process,REP06
SO000146,2024-11-23,2024-12-04,CUST00048,Customer CUST00048,PRD028,Product J,18,49.71,894.83,USD,West,Open,REP05
SO000147,2024-03-21,2024-04-14,CUST00040,Customer CUST00040,PRD077,Product C,58,289.95,16816.88,USD,South,Delivered,REP13
SO000148,2024-10-15,2024-10-27,CUST00088,Customer CUST00088,PRD048,Product C,80,332.64,26611.31,USD,North,Open,REP09
SO000149,2024-09-25,2024-10-12,CUST00045,Customer CUST00045,PRD007,Product I,53,343.27,18193.26,USD,East,Delivered,REP05
SO000150,2024-08-22,2024-09-10,CUST00058,Customer CUST00058,PRD053,Product I,31,414.65,12854.16,USD,South,Delivered,REP07
SO000151,2024-03-22,2024-04-01,CUST00002,Customer CUST00002,PRD017,Product G,66,150.65,9942.81,USD,East,Cancelled,REP08
SO000152,2024-08-10,2024-08-18,CUST00060,Customer CUST00060,PRD074,Product H,35,72.94,2552.9,USD,East,Delivered,REP09
SO000153,2024-08-11,2024-08-19,CUST00063,Customer CUST00063,PRD068,Product E,93,396.52,36875.93,USD,West,Delivered,REP17
SO000154,2024-01-12,2024-02-09,CUST00017,Customer CUST00017,PRD014,Product J,65,38.38,2494.77,USD,East,Delivered,REP15
SO000155,2024-10-11,2024-10-29,CUST00036,Customer CUST00036,PRD006,Product C,52,381.55,19840.55,USD,Central,Open,REP15
SO000156,2024-03-19,2024-04-13,CUST00075,Customer CUST00075,PRD081,Product J,87,228.49,19878.83,USD,South,Cancelled,REP03
SO000157,2024-02-08,2024-02-29,CUST00029,Customer CUST00029,PRD027,Product D,32,50.37,1611.73,USD,West,Delivered,REP03
SO000158,2024-12-02,2024-12-20,CUST00056,Customer CUST00056,PRD019,Product E,47,215.67,10136.32,USD,East,Cancelled,REP05
SO000159,2024-09-13,2024-09-25,CUST00015,Customer CUST00015,PRD012,Product B,61,108.18,6598.73,USD,North,Delivered,REP18
SO000160,2024-09-27,2024-10-15,CUST00080,Customer CUST00080,PRD008,Product H,60,100.91,6054.45,USD,North,Open,REP15
SO000161,2024-01-27,2024-02-16,CUST00050,Customer CUST00050,PRD060,Product D,71,316.85,22496.2,USD,West,Open,REP03
SO000162,2024-02-15,2024-03-07,CUST00025,Customer CUST00025,PRD038,Product G,17,307.58,5228.86,USD,West,In Process,REP16
SO000163,2024-11-14,2024-12-12,CUST00002,Customer CUST00002,PRD021,Product H,72,162.08,11669.57,USD,Central,Open,REP18
SO000164,2024-11-15,2024-12-09,CUST00095,Customer CUST00095,PRD041,Product F,32,331.92,10621.51,USD,North,Delivered,REP08
SO000165,2024-09-23,2024-10-21,CUST00051,Customer CUST00051,PRD079,Product H,41,128.6,5272.68,USD,North,Delivered,REP16
SO000166,2024-11-05,2024-12-03,CUST00092,Customer CUST00092,PRD002,Product D,33,284.23,9379.52,USD,South,In Process,REP01
SO000167,2024-10-15,2024-10-30,CUST00077,Customer CUST00077,PRD090,Product A,77,48.5,3734.77,USD,South,Cancelled,REP14
SO000168,2024-05-01,2024-05-25,CUST00015,Customer CUST00015,PRD006,Product B,44,61.24,2694.48,USD,East,Open,REP09
SO000169,2024-09-18,2024-10-03,CUST00095,Customer CUST00095,PRD084,Product I,76,436.77,33194.89,USD,South,Delivered,REP15
SO000170,2024-09-07,2024-09-20,CUST00075,Customer CUST00075,PRD003,Product D,80,278.32,22265.62,USD,South,Delivered,REP09
SO000171,2024-07-06,2024-07-22,CUST00014,Customer CUST00014,PRD019,Product B,12,131.08,1572.97,USD,Central,In Process,REP14
SO000172,2024-12-21,2025-01-09,CUST00008,Customer CUST00008,PRD070,Product G,53,332.77,17636.64,USD,East,Open,REP18
SO000173,2024-07-29,2024-08-26,CUST00037,Customer CUST00037,PRD061,Product H,59,328.66,19390.92,USD,South,In Process,REP15
SO000174,2024-12-18,2024-12-31,CUST00076,Customer CUST00076,PRD020,Product A,94,480.78,45193.55,USD,South,Delivered,REP05
SO000175,2024-01-04,2024-01-22,CUST00020,Customer CUST00020,PRD098,Product H,50,434.85,21742.27,USD,North,In Process,REP04
SO000176,2024-03-06,2024-03-27,CUST00034,Customer CUST00034,PRD012,Product D,6,330.95,1985.73,USD,East,Delivered,REP03
SO000177,2024-08-24,2024-09-17,CUST00040,Customer CUST00040,PRD094,Product E,15,125.54,1883.07,USD,South,Delivered,REP10
SO000178,2024-01-14,2024-02-03,CUST00002,Customer CUST00002,PRD060,Product G,37,428.65,15860.0,USD,Central,In Process,REP15
SO000179,2024-01-14,2024-01-27,CUST00089,Customer CUST00089,PRD028,Product D,2,56.68,113.36,USD,North,In Process,REP02
SO000180,2024-06-11,2024-06-22,CUST00005,Customer CUST00005,PRD047,Product A,40,303.37,12134.79,USD,West,Cancelled,REP11
SO000181,2024-01-10,2024-01-19,CUST00014,Customer CUST00014,PRD020,Product J,93,175.13,16287.23,USD,North,In Process,REP08
SO000182,2024-06-19,2024-07-07,CUST00001,Customer CUST00001,PRD037,Product I,64,186.03,11906.1,USD,West,Open,REP15
SO000183,2024-07-22,2024-08-02,CUST00049,Customer CUST00049,PRD020,Product A,44,228.72,10063.71,USD,West,Delivered,REP18
SO000184,2024-11-29,2024-12-07,CUST00073,Customer CUST00073,PRD070,Product E,20,35.33,706.63,USD,North,Open,REP05
SO000185,2024-09-01,2024-09-12,CUST00033,Customer CUST00033,PRD088,Product A,51,30.37,1548.91,USD,South,In Process,REP11
SO000186,2024-05-05,2024-05-13,CUST00089,Customer CUST00089,PRD044,Product B,29,435.28,12623.12,USD,East,In Process,REP06
SO000187,2024-12-05,2025-01-03,CUST00045,Customer CUST00045,PRD085,Product D,80,470.51,37640.94,USD,West,Delivered,REP01
SO000188,2024-09-20,2024-10-02,CUST00005,Customer CUST00005,PRD030,Product F,47,349.39,16421.18,USD,South,In Process,REP18
SO000189,2024-05-24,2024-06-07,CUST00047,Customer CUST00047,PRD033,Product H,76,65.42,4972.21,USD,North,Delivered,REP01
SO000190,2024-05-26,2024-06-17,CUST00014,Customer CUST00014,PRD066,Product E,48,329.1,15797.0,USD,South,In Process,REP18
SO000191,2024-07-10,2024-07-22,CUST00063,Customer CUST00063,PRD077,Product I,33,209.38,6909.7,USD,Central,Delivered,REP09
SO000192,2024-11-19,2024-11-27,CUST00004,Customer CUST00004,PRD023,Product F,19,405.84,7711.05,USD,South,Delivered,REP19
SO000193,2024-12-30,2025-01-16,CUST00001,Customer CUST00001,PRD076,Product H,54,328.05,17714.52,USD,Central,In Process,REP07
SO000194,2024-05-22,2024-06-18,CUST00019,Customer CUST00019,PRD090,Product I,33,126.4,4171.09,USD,North,In Process,REP11
SO000195,2024-12-20,2025-01-03,CUST00078,Customer CUST00078,PRD072,Product J,66,237.11,15649.4,USD,East,Delivered,REP16
SO000196,2024-04-26,2024-05-14,CUST00005,Customer CUST00005,PRD043,Product B,48,294.28,14125.65,USD,West,In Process,REP16
SO000197,2024-12-08,2024-12-20,CUST00046,Customer CUST00046,PRD047,Product B,43,18.93,814.16,USD,East,Open,REP15
SO000198,2024-10-07,2024-10-17,CUST00075,Customer CUST00075,PRD034,Product C,15,106.61,1599.08,USD,Central,In Process,REP14
SO000199,2024-02-21,2024-03-12,CUST00027,Customer CUST00027,PRD002,Product C,8,162.54,1300.33,USD,West,Delivered,REP17
SO000200,2024-03-17,2024-03-27,CUST00090,Customer CUST00090,PRD013,Product I,94,98.76,9283.74,USD,West,Open,REP07
SO000201,2024-11-07,2024-11-30,CUST00042,Customer CUST00042,PRD054,Product J,56,481.83,26982.71,USD,West,Open,REP01
SO000202,2024-06-20,2024-07-09,CUST00047,Customer CUST00047,PRD009,Product G,22,411.4,9050.86,USD,West,In Process,REP15
SO000203,2024-01-10,2024-01-26,CUST00072,Customer CUST00072,PRD050,Product H,80,282.75,22620.17,USD,East,Delivered,REP19
SO000204,2024-04-09,2024-04-22,CUST00074,Customer CUST00074,PRD069,Product I,18,385.66,6941.91,USD,South,In Process,REP15
